13:39:33 | DEBUG | run=20260805-083930-232081 | hailo_apps.python.core.gstreamer.gstreamer_app | Loading environment from None
13:39:33 | DEBUG | run=20260805-083930-232081 | hailo_apps.python.core.common.core | Loading environment from: None
INFO | common.core | All required environment variables loaded successfully.
13:39:33 | DEBUG | run=20260805-083930-232081 | hailo_apps.python.core.common.installation_utils | Detecting Hailo architecture using hailortcli.
13:39:33 | DEBUG | run=20260805-083930-232081 | hailo_apps.python.core.common.installation_utils | Detected Hailo architecture: HAILO8L
13:39:33 | DEBUG | run=20260805-083930-232081 | hailo_apps.python.core.gstreamer.gstreamer_app | Auto-detected Hailo architecture: hailo8l
13:39:33 | DEBUG | run=20260805-083930-232081 | hailo_apps.python.core.gstreamer.gstreamer_app | Source type determined: image
13:39:34 | DEBUG | run=20260805-083930-232081 | hailo_apps.python.core.common.core | Auto-detected app_type: pipeline
INFO | common.core | Found HEF in resources: /usr/local/hailo/resources/models/hailo8l/scrfd_2.5g.hef
13:39:34 | DEBUG | run=20260805-083930-232081 | hailo_apps.python.core.common.core | Auto-detected app_type: pipeline
INFO | common.core | Found HEF in resources: /usr/local/hailo/resources/models/hailo8l/arcface_mobilefacenet.hef
13:39:34 | DEBUG | run=20260805-083930-232081 | hailo_apps.python.core.common.core | Getting resource path for pipeline=None, resource_type=so, model=libscrfd.so
13:39:34 | DEBUG | run=20260805-083930-232081 | hailo_apps.python.core.common.core | Getting resource path for pipeline=None, resource_type=so, model=libface_recognition_post.so
13:39:34 | DEBUG | run=20260805-083930-232081 | hailo_apps.python.core.common.core | Getting resource path for pipeline=None, resource_type=so, model=libvms_face_align.so
13:39:34 | DEBUG | run=20260805-083930-232081 | hailo_apps.python.core.common.core | Getting resource path for pipeline=None, resource_type=so, model=libvms_croppers.so
13:39:34 | DEBUG | run=20260805-083930-232081 | hailo_apps.python.core.gstreamer.gstreamer_app | Creating pipeline...
13:39:34 | DEBUG | run=20260805-083930-232081 | hailo_apps.python.core.common.core | Getting resource path for pipeline=None, resource_type=json, model=scrfd.json
13:39:34 | DEBUG | run=20260805-083930-232081 | hailo_apps.python.core.common.installation_utils | Detecting Hailo architecture using hailortcli.
13:39:34 | DEBUG | run=20260805-083930-232081 | hailo_apps.python.core.common.installation_utils | Detected Hailo architecture: HAILO8L
13:39:34 | DEBUG | run=20260805-083930-232081 | hailo_apps.python.core.common.installation_utils | Detecting Hailo architecture using hailortcli.
13:39:34 | DEBUG | run=20260805-083930-232081 | hailo_apps.python.core.common.installation_utils | Detected Hailo architecture: HAILO8L
13:39:34 | DEBUG | run=20260805-083930-232081 | hailo_apps.python.core.gstreamer.gstreamer_app | Pipeline string: filesrc location="/home/vctraspberrypi5/hailo-apps/Face-Detection-sample/001_1024_jpeg_jpg.rf.2ec61ac38f0987515cc2c918fdc8f5cd.jpg" name=source ! decodebin name=source_decodebin ! imagefreeze num-buffers=30 !  queue name=source_scale_q leaky=no max-size-buffers=3 max-size-bytes=0 max-size-time=0  ! videoscale name=source_videoscale n-threads=2 ! queue name=source_convert_q leaky=no max-size-buffers=3 max-size-bytes=0 max-size-time=0  ! videoconvert n-threads=3 name=source_convert qos=false ! video/x-raw, pixel-aspect-ratio=1/1, format=RGB, width=1280, height=720 ! videorate name=source_videorate ! capsfilter name=source_fps_caps caps="video/x-raw"  ! queue name=inference_wrapper_input_q leaky=no max-size-buffers=3 max-size-bytes=0 max-size-time=0  ! hailocropper name=inference_wrapper_crop so-path=/usr/lib/aarch64-linux-gnu/hailo/tappas/post_processes/cropping_algorithms/libwhole_buffer.so function-name=create_crops use-letterbox=true resize-method=inter-area internal-offset=true hailoaggregator name=inference_wrapper_agg inference_wrapper_crop. ! queue name=inference_wrapper_bypass_q leaky=no max-size-buffers=20 max-size-bytes=0 max-size-time=0  ! inference_wrapper_agg.sink_0 inference_wrapper_crop. ! queue name=inference_scale_q leaky=no max-size-buffers=3 max-size-bytes=0 max-size-time=0  ! videoscale name=inference_videoscale n-threads=2 qos=false ! queue name=inference_convert_q leaky=no max-size-buffers=3 max-size-bytes=0 max-size-time=0  ! video/x-raw, pixel-aspect-ratio=1/1 ! videoconvert name=inference_videoconvert n-threads=2 ! queue name=inference_hailonet_q leaky=no max-size-buffers=3 max-size-bytes=0 max-size-time=0  ! hailonet name=inference_hailonet hef-path=/usr/local/hailo/resources/models/hailo8l/scrfd_2.5g.hef batch-size=1  vdevice-group-id=SHARED  force-writable=true  ! queue name=inference_hailofilter_q leaky=no max-size-buffers=3 max-size-bytes=0 max-size-time=0  ! hailofilter name=inference_hailofilter so-path=/usr/local/hailo/resources/so/libscrfd.so  config-path=/usr/local/hailo/resources/json/scrfd.json   function-name=scrfd_2_5g_letterbox  qos=false ! queue name=inference_output_q leaky=no max-size-buffers=3 max-size-bytes=0 max-size-time=0   ! inference_wrapper_agg.sink_1 inference_wrapper_agg. ! queue name=inference_wrapper_output_q leaky=no max-size-buffers=3 max-size-bytes=0 max-size-time=0   ! hailotracker name=hailo_face_tracker class-id=-1 kalman-dist-thr=0.7 iou-thr=0.8 init-iou-thr=0.9 keep-new-frames=2 keep-tracked-frames=6 keep-lost-frames=8 keep-past-metadata=True qos=False ! queue name=hailo_face_tracker_q leaky=no max-size-buffers=3 max-size-bytes=0 max-size-time=0   ! queue name=cropper_wrapper_input_q leaky=no max-size-buffers=3 max-size-bytes=0 max-size-time=0  ! hailocropper name=cropper_wrapper_cropper so-path=/usr/local/hailo/resources/so/libvms_croppers.so function-name=face_recognition use-letterbox=true no-scaling-bbox=true internal-offset=true resize-method=bilinear hailoaggregator name=cropper_wrapper_agg cropper_wrapper_cropper. ! queue name=cropper_wrapper_bypass_q leaky=no max-size-buffers=20 max-size-bytes=0 max-size-time=0  ! cropper_wrapper_agg.sink_0 cropper_wrapper_cropper. ! hailofilter so-path=/usr/local/hailo/resources/so/libvms_face_align.so name=face_align_hailofilter use-gst-buffer=true qos=false ! queue name=detector_pos_face_align_q leaky=no max-size-buffers=3 max-size-bytes=0 max-size-time=0  ! queue name=face_recognition_inference_scale_q leaky=no max-size-buffers=3 max-size-bytes=0 max-size-time=0  ! videoscale name=face_recognition_inference_videoscale n-threads=2 qos=false ! queue name=face_recognition_inference_convert_q leaky=no max-size-buffers=3 max-size-bytes=0 max-size-time=0  ! video/x-raw, pixel-aspect-ratio=1/1 ! videoconvert name=face_recognition_inference_videoconvert n-threads=2 ! queue name=face_recognition_inference_hailonet_q leaky=no max-size-buffers=3 max-size-bytes=0 max-size-time=0  ! hailonet name=face_recognition_inference_hailonet hef-path=/usr/local/hailo/resources/models/hailo8l/arcface_mobilefacenet.hef batch-size=1  vdevice-group-id=SHARED  force-writable=true  ! queue name=face_recognition_inference_hailofilter_q leaky=no max-size-buffers=3 max-size-bytes=0 max-size-time=0  ! hailofilter name=face_recognition_inference_hailofilter so-path=/usr/local/hailo/resources/so/libface_recognition_post.so   function-name=filter  qos=false ! queue name=face_recognition_inference_output_q leaky=no max-size-buffers=3 max-size-bytes=0 max-size-time=0   ! cropper_wrapper_agg.sink_1 cropper_wrapper_agg. ! queue name=cropper_wrapper_output_q leaky=no max-size-buffers=3 max-size-bytes=0 max-size-time=0   ! queue name=vector_db_callback_q leaky=no max-size-buffers=3 max-size-bytes=0 max-size-time=0  ! identity name=vector_db_callback  ! queue name=identity_callback_q leaky=no max-size-buffers=3 max-size-bytes=0 max-size-time=0  ! identity name=identity_callback  ! queue name=hailo_display_overlay_q leaky=no max-size-buffers=3 max-size-bytes=0 max-size-time=0  ! hailooverlay name=hailo_display_overlay  ! queue name=hailo_display_videoconvert_q leaky=no max-size-buffers=3 max-size-bytes=0 max-size-time=0  ! videoconvert name=hailo_display_videoconvert n-threads=2 qos=false ! queue name=hailo_display_q leaky=no max-size-buffers=3 max-size-bytes=0 max-size-time=0  ! fpsdisplaysink name=hailo_display video-sink=autovideosink sync=false text-overlay=False signal-fps-measurements=true 

--- GStreamer Pipeline ---
